Respondent ID,Respondant Zip Code,Urban or Rural Re-scaled,Age,Gender,Ethnicity,Income Re-scaled,Education Re-scaled,Household size Re-scaled,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled,"Elections: During the last (2022) election, I voted:",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled,Energy Crisis Re-scaled,Climate Change Re-scaled,Lack of Natural Resources Re-scaled,Militarty Conflicts Re-scaled,Interstate Conflicts Re-scaled,Employment and Livelihood Re-scaled,Infectious Disease Re-scaled,AI Re-scaled,Cybersecurity Re-scaled,Crisis Composit Score,Systems Thinking Score,Trust Score,Conspiracy,Complexity,Openness,Conscienciousness,Extroversion,Agreeableness,Neuroticism
1447,86406,1,72,Male,White/Caucasian,8,4,2,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Autocracy,Democracy,2,0,0,0,1,0,1,1,0,1,3,0.75,0.833333375,0.3333333333333333,0.39999999999999997,0.888888888888889,0.888888888888889,0.7777777777777778,0.8333333333333334,0.05555555555555555
1448,85260,1,64,Male,White/Caucasian,7,5,1,Single,Employed Full-time,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,1,1,0,1,0,0,0,0,0,0,0,0.3611111111111111,0.583333325,0.2,0.39999999999999997,0.611111111111111,0.9444444444444445,0.8333333333333334,0.888888888888889,0.0
1449,85741,1,35,Female,Hispanic,3,2,2,Single,Unemployed,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,1,0,2,1,0,1,0,1,0,0,2,0.41666666666666663,0.833333375,0.2,0.6666666666666667,0.33333333333333337,0.7222222222222222,0.33333333333333337,0.5555555555555556,0.11111111111111113
1450,85042,0,44,Female,White/Caucasian,1,1,6,Married or Partnered,Unemployed,0,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,2,2,2,2,2,2,2,3,2,2,11,0.5555555555555556,0.416666675,0.6666666666666667,0.46666666666666673,0.2777777777777778,0.33333333333333337,0.33333333333333337,0.5,0.9999999999999999
1451,85212,1,66,Female,White/Caucasian,5,2,3,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,0,0,0,1,1,1,0,0,3,0.75,0.416666675,0.2,0.06666666666666671,0.7222222222222222,0.888888888888889,0.611111111111111,0.8333333333333334,0.5
1452,85339,1,65,Female,White/Caucasian,8,4,3,Married or Partnered,Employed Full-time,0,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,2,2,2,2,2,1,2,2,0,1,6,0.5,0.5,0.26666666666666666,0.5333333333333334,0.7222222222222222,0.9999999999999999,0.888888888888889,0.9444444444444445,0.38888888888888895
1454,85138,1,46,Female,Hispanic,5,4,4,Married or Partnered,Employed Full-time,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,0,0,0,2,1,0,0,1,0,0,1,0.6666666666666666,0.583333325,0.13333333333333336,0.5333333333333334,0.9444444444444445,0.9999999999999999,0.9444444444444445,0.9444444444444445,0.4444444444444444
1455,85716,1,30,Female,White/Caucasian,6,2,4,Seperated,Other,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,3,1,1,1,1,1,2,2,0,1,6,0.8055555555555555,0.833333375,0.2,0.6666666666666667,0.888888888888889,0.9999999999999999,0.6666666666666666,0.888888888888889,0.33333333333333337
1456,85225,1,55,Male,White/Caucasian,8,3,2,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,1,0,3,1,0,2,1,1,5,0.8055555555555555,0.5,0.2,0.6000000000000001,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.7222222222222222,0.11111111111111113
1457,0,1,70,Male,White/Caucasian,7,5,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,2,2,0,0,0,0,1,0,0,1,0.611111111111111,0.333333325,0.06666666666666671,0.6000000000000001,0.5555555555555556,0.5,0.33333333333333337,0.5,0.7222222222222222
1458,85224,1,63,Female,White/Caucasian,4,6,2,Seperated,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,2,3,0,3,3,0,0,1,0,4,0.8888888888888888,0.833333375,0.2,0.8666666666666667,0.8333333333333334,0.9999999999999999,0.9444444444444445,0.5,0.9444444444444445
1459,85648,0,55,Male,Hispanic,5,5,5,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,1,1,2,3,2,2,1,2,2,1,8,0.6666666666666666,0.25,0.26666666666666666,0.7333333333333334,0.5555555555555556,0.7777777777777778,0.5,0.7222222222222222,0.38888888888888895
1460,85202,1,46,Male,White/Caucasian,4,5,2,Single,Employed Part-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,1,1,0,1,2,1,1,0,5,0.6666666666666666,0.333333325,0.0,0.6666666666666667,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4444444444444444
1461,85283,1,39,Female,White/Caucasian,6,5,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,1,0,1,0,0,1,0,0,1,0.861111111111111,0.75,0.13333333333333336,0.6666666666666667,0.4444444444444444,0.888888888888889,0.38888888888888895,0.611111111111111,0.38888888888888895
1464,85040,1,43,Female,White/Caucasian,1,1,6,Married or Partnered,Other,2,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,0,1,2,0,0,0,0,0,0,0,0.41666666666666663,0.16666665000000003,0.6666666666666667,0.5333333333333334,0.7777777777777778,0.9999999999999999,0.2777777777777778,0.8333333333333334,0.6666666666666666
1465,85008,1,52,Female,White/Caucasian,1,2,1,Seperated,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,0,1,2,0,1,0,2,0,0,3,0.4444444444444444,0.08333334999999997,0.2,0.5333333333333334,0.9999999999999999,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.9999999999999999
1466,85712,1,34,Male,White/Caucasian,1,5,1,Single,Unemployed,3,Did not vote,That the people elect the respective head of state in free elections,Democracy,Autocracy,Autocracy,2,0,2,1,2,0,0,1,0,0,1,0.3333333333333333,0.25,0.0,0.6666666666666667,0.611111111111111,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.38888888888888895
1468,86409,0,76,Male,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,1,2,2,2,2,0,1,2,2,7,0.3611111111111111,0.5,0.3333333333333333,0.6000000000000001,0.5,0.611111111111111,0.22222222222222218,0.38888888888888895,0.11111111111111113
